"","Ecoregion","ai","pi"
"1","Cortezian",107067.871161754,16439.8410660588
"2","Southern Gulf of Mexico",215643.505687708,12430.3067214728
"3","Eastern Tropical Pacific",1332421.63871303,10071.4448199765
"4","Western Caribbean",13322.9937916123,4762.36251280419
"5","California Current",434674.635754374,3746.41113593789
"6","Southern California Bight",35576.7739614276,2962.34905554779
"7","Northern Gulf of Mexico",20770.1146061142,1652.8366686811
"8","Revillagigedos",903.957300296366,903.957300296366
"9","Magdalena Transition",28423.8146065237,690.592281999953
"10","Chiapas-Nicaragua",27033.7459358784,255.693002983143
"11","Inter American Seas",577905.620763138,152.891037639042
"12","North Central Pacific Gyre",364620.499505413,124.132868645446
"13","Mexican Tropical Pacific",16876.0050541405,53.0394389573039
