"","Ecoregion","ai","pi"
"1","Subtropical Convergence",405592.058344967,167212.538546582
"2","Humboldt Current",1490213.89868758,155680.589620207
"3","South Central Pacific Gyre",725772.192483518,149918.569649264
"4","Channels and Fjords of Southern Chile",117547.176841109,5320.2317882527
"5","Juan Fern ndez and Desventuradas",1691.20430501062,1405.66749095425
"6","Chiloense",57427.0303745621,621.72797662862
"7","Easter Island",694.93007747224,145.527085818478
"8","Central Chile",12444.7663489578,89.7706695986294
"9","Araucanian",37921.6125602367,20.0686886823722
"10","Humboldtian",11329.7212194854,3.45790723567808
"11","Subantarctic",651343.577248473,0
"12","Antarctic Polar Front",132245.059227646,0
