"","Ecoregion","ai","pi"
"1","Angolan mopane woodlands",151482.459317829,48483.2900054655
"2","Etosha Pan halophytics",7690.86626261503,7406.22137758712
"3","Gariep Karoo",142233.140989792,10687.6575074962
"4","Kalahari Acacia woodlands",67819.7476046969,41725.3601074777
"5","Kalahari xeric savanna",183220.651171149,7540.77600266053
"6","Kaokoveld desert",20791.9108473777,17633.1940882274
"7","Namaqualand-Richtersveld steppe",20010.7631001174,18092.8778603877
"8","Namib Desert",79190.0301438591,72480.4669158082
"9","Namibian savanna woodlands",56387.7971908053,28816.6256716544
"10","Zambezian Baikiaea woodlands",85633.2627811453,18780.3342722404
"11","Zambezian flooded grasslands",4087.9458976013,1800.98586620626
"12","Zambezian mopane woodlands",4612.37176639442,2088.30783256056
