"","Ecoregion","ai","pi"
"1","Alps conifer and mixed forests",3453.39831060588,2141.79770424417
"2","Baltic mixed forests",31199.423827002,13654.9494109483
"3","Central European mixed forests",48888.9893984225,18143.8311200761
"4","European Atlantic mixed forests",77642.528601985,22898.2161358976
"5","Western European broadleaf forests",194932.270723736,76139.1274232808
