"","Ecoregion","ai","pi"
"1","Alto Paraná Atlantic forests",374319.910814412,23457.0160103067
"2","Amazon-Orinoco-Southern Caribbean mangroves",15919.6736671109,13382.1798600884
"3","Araucaria moist forests",211060.634452956,9786.8382497078
"4","Atlantic Coast restingas",7478.33268370518,1658.83687064571
"5","Bahia coastal forests",108896.40502785,11214.4485476756
"6","Bahia interior forests",229209.793674222,10812.1296322833
"8","Brazilian Atlantic dry forests",114660.12852042,8997.76511508051
"9","Caatinga",731139.284526729,55865.4629887904
"10","Caatinga Enclaves moist forests",4776.26943493617,1323.94043916695
"11","Campos Rupestres montane savanna",26312.9674604328,6961.00812724306
"12","Caqueta moist forests",12558.5927779191,11980.1908754948
"13","Cerrado",1895857.6526599,229088.567455582
"14","Chiquitano dry forests",65616.6644856736,9948.68390174136
"16","Fernando de Noronha-Atol das Rocas moist forests",16.4704224258469,16.4559229989356
"17","Guianan Highlands moist forests",27518.7604032232,25260.2557866704
"18","Guianan lowland moist forests",68426.6909204276,66007.4727989738
"19","Guianan piedmont moist forests",84984.9133239647,73476.2622875265
"20","Guianan savanna",77520.3539251256,40060.5252070456
"21","Gurupa várzea",9880.95873931545,4523.97632814328
"23","Iquitos várzea",31110.0295345871,5128.95115655963
"24","Japurá-Solimões-Negro moist forests",234660.143761348,158296.142304923
"25","Juruá-Purus moist forests",241492.765114946,87582.2985650304
"26","Madeira-Tapajós moist forests",657472.974755354,296071.063100008
"27","Marajó várzea",87636.8191438182,60189.1465049121
"28","Maranhão Babaçu forests",141626.377719372,28106.7293072837
"29","Mato Grosso tropical dry forests",412314.02636575,103317.866382847
"30","Monte Alegre várzea",66479.6464426,15259.2280102376
"31","Negro-Branco moist forests",48585.7722290144,30566.7725809622
"32","Northeast Brazil restingas",9969.17493235906,6973.99468145402
"33","Pantanal",136409.291192631,10398.7224856368
"34","Pantepui forests & shrublands",5544.01287882957,5381.24004729699
"35","Pernambuco coastal forests",17406.2716742372,2026.56227360345
"36","Pernambuco interior forests",22524.0262886221,962.384170386767
"37","Purus-Madeira moist forests",173257.07259836,103371.98682289
"38","Purus várzea",143761.791354447,68484.9703531007
"39","Rio Negro campinarana",80427.8181726843,56229.844805726
"40","Serra do Mar coastal forests",103804.399939627,37525.8977797341
"41","Solimões-Japurá moist forests",35868.0491680228,14099.4562891399
"42","Southern Atlantic Brazilian mangroves",9378.43307005648,3158.4986360162
"44","Southwest Amazon moist forests",316911.772622102,179149.00749001
"45","Tapajós-Xingu moist forests",335099.356315262,241481.069295726
"46","Tocantins/Pindare moist forests",192761.449796194,37727.9133496046
"47","Uatumã-Trombetas moist forests",469558.154913493,318401.000575132
"48","Uruguayan savanna",174133.496497182,5542.75119169964
"49","Xingu-Tocantins-Araguaia moist forests",265072.007075104,87699.1614719028
