"","Ecoregion","ai","pi"
"1","Central Korean deciduous forests",75761.8410336941,11239.1821046683
"2","Southern Korea evergreen forests",13835.0359860797,2208.67951742739
"3","Manchurian mixed forests",5730.83472834182,1960.67083678797
