"","Ecoregion","ai","pi"
"1","Congolian coastal forests",112457.72228747,37288.4660904409
"2","Northwest Congolian lowland forests",100196.668703318,16359.4862221207
"3","Western Congolian forest-savanna",46532.7546317235,3381.34752496805
"4","Central African mangroves",5041.21395395142,1049.28126321439
