"","Ecoregion","ai","pi"
"1","Equatorial Atlantic",156638.969749556,36248.0538482775
"2","Gulf of Guinea South",31919.2900101542,12579.8582835656
"3","Gulf of Guinea Central",11282.1024912899,3175.00672154957
